user_id,event_name,level_name,level_success,event_date,revenue
7f0344f8,in_app_purchase,,,2021-01-10,0.99
7f0344f8,daily_game_events,,,2021-01-10,
7f0344f8,daily_battle_victories,,,2021-01-10,
00aa49ac,level_end,level_01,1.0,2021-01-13,
00aa49ac,level_end,level_02,1.0,2021-01-13,
00aa49ac,level_start,level_01,,2021-01-13,
00aa49ac,level_start,level_03,,2021-01-14,
00aa49ac,level_start,level_02,,2021-01-13,
00aa49ac,in_app_purchase,,,2021-01-13,2.49
00aa49ac,in_app_purchase,,,2021-01-14,9.49
00aa49ac,in_app_purchase,,,2021-01-13,7.49
00aa49ac,in_app_purchase,,,2021-01-13,9.49
00aa49ac,daily_game_events,,,2021-01-13,
00aa49ac,daily_game_events,,,2021-01-14,
00aa49ac,daily_battle_victories,,,2021-01-14,
00aa49ac,daily_battle_victories,,,2021-01-13,
f5ef9841,level_end,level_02,1.0,2021-01-16,
f5ef9841,level_end,level_03,1.0,2021-01-16,
f5ef9841,level_end,level_04,1.0,2021-01-16,
f5ef9841,level_end,level_01,1.0,2021-01-15,
f5ef9841,level_start,level_03,,2021-01-16,
f5ef9841,level_start,level_04,,2021-01-16,
f5ef9841,level_start,level_01,,2021-01-15,
f5ef9841,level_start,level_02,,2021-01-16,
f5ef9841,level_start,level_02,,2021-01-15,
f5ef9841,app_first_launch,,,2021-01-15,
f5ef9841,in_app_purchase,,,2021-01-15,7.49
f5ef9841,in_app_purchase,,,2021-01-15,2.49
f5ef9841,in_app_purchase,,,2021-01-16,9.49
f5ef9841,daily_game_events,,,2021-01-16,
f5ef9841,daily_game_events,,,2021-01-15,
f5ef9841,daily_battle_victories,,,2021-01-16,
f5ef9841,daily_battle_victories,,,2021-01-15,
13d17d67,level_end,level_05,1.0,2021-01-13,
13d17d67,level_start,level_05,,2021-01-13,
13d17d67,in_app_purchase,,,2021-01-13,9.476738
13d17d67,in_app_purchase,,,2021-01-15,7.07912
13d17d67,in_app_purchase,,,2021-01-13,2.360289
13d17d67,daily_game_events,,,2021-01-15,
13d17d67,daily_game_events,,,2021-01-17,
13d17d67,daily_game_events,,,2021-01-13,
13d17d67,daily_battle_victories,,,2021-01-17,
13d17d67,daily_battle_victories,,,2021-01-15,
13d17d67,daily_battle_victories,,,2021-01-13,
